commodity_name,state,district,market,min_price,max_price,modal_price,date,commodity
43,3,131,656,20.0,25.0,22.5,2019-05-22,Cauliflower
43,5,2,19,13.0,30.0,23.0,2019-05-22,Cauliflower
43,5,63,98,22.25,31.25,29.0,2019-05-22,Cauliflower
43,5,63,318,15.0,18.5,17.0,2019-05-22,Cauliflower
43,5,334,381,14.0,20.0,17.0,2019-05-22,Cauliflower
43,5,105,539,12.0,20.0,17.0,2019-05-22,Cauliflower
43,5,2,618,10.0,12.0,11.0,2019-05-22,Cauliflower
43,5,248,1527,13.0,19.0,16.0,2019-05-22,Cauliflower
43,5,464,1643,25.0,30.0,27.5,2019-05-22,Cauliflower
43,5,435,2144,11.0,27.5,19.25,2019-05-22,Cauliflower
43,5,219,2156,16.5,18.5,17.5,2019-05-22,Cauliflower
43,5,310,2312,50.0,60.0,55.0,2019-05-22,Cauliflower
43,6,237,121,14.0,15.0,14.5,2019-05-22,Cauliflower
43,6,140,196,18.0,21.0,20.0,2019-05-22,Cauliflower
43,6,184,258,40.0,40.0,40.0,2019-05-22,Cauliflower
43,6,68,348,12.0,13.0,12.5,2019-05-22,Cauliflower
43,6,140,674,28.0,30.0,29.0,2019-05-22,Cauliflower
43,6,143,678,35.0,40.0,40.0,2019-05-22,Cauliflower
43,6,305,1798,8.0,8.0,8.0,2019-05-22,Cauliflower
43,6,353,1928,4.0,8.0,6.0,2019-05-22,Cauliflower
43,6,425,2112,30.0,45.0,30.0,2019-05-22,Cauliflower
43,7,269,213,29.0,34.0,31.5,2019-05-22,Cauliflower
43,7,269,363,30.0,45.0,37.0,2019-05-22,Cauliflower
43,7,74,378,40.0,52.0,42.0,2019-05-22,Cauliflower
43,7,290,595,30.0,45.0,37.5,2019-05-22,Cauliflower
43,7,175,812,40.0,45.0,42.0,2019-05-22,Cauliflower
43,7,175,813,40.0,45.0,42.0,2019-05-22,Cauliflower
43,7,228,1046,25.0,30.0,27.5,2019-05-22,Cauliflower
43,7,228,1047,30.0,30.0,30.0,2019-05-22,Cauliflower
43,7,228,1049,35.0,40.0,37.5,2019-05-22,Cauliflower
43,7,269,1251,30.0,38.0,35.0,2019-05-22,Cauliflower
43,7,290,1389,20.0,40.0,35.0,2019-05-22,Cauliflower
