commodity_name,state,district,market,min_price,max_price,modal_price,date,commodity
95,2,225,1668,45.0,60.0,50.0,2019-05-22,Green+Chilli
95,5,2,19,20.0,35.0,28.0,2019-05-22,Green+Chilli
95,5,63,98,37.5,50.5,46.5,2019-05-22,Green+Chilli
95,5,435,236,60.0,68.5,68.5,2019-05-22,Green+Chilli
95,5,334,381,50.0,70.0,60.0,2019-05-22,Green+Chilli
95,5,105,539,30.0,65.0,50.0,2019-05-22,Green+Chilli
95,5,2,618,10.0,13.0,12.0,2019-05-22,Green+Chilli
95,5,378,620,14.0,27.0,21.0,2019-05-22,Green+Chilli
95,5,464,1643,30.0,35.0,32.5,2019-05-22,Green+Chilli
95,5,435,2144,25.0,65.0,45.0,2019-05-22,Green+Chilli
95,5,219,2156,13.0,15.0,14.0,2019-05-22,Green+Chilli
95,5,304,2341,40.0,40.0,40.0,2019-05-22,Green+Chilli
95,6,140,196,25.0,30.0,28.0,2019-05-22,Green+Chilli
95,6,351,257,30.0,32.0,31.0,2019-05-22,Green+Chilli
95,6,482,490,34.0,42.0,34.0,2019-05-22,Green+Chilli
95,6,140,674,28.0,30.0,29.0,2019-05-22,Green+Chilli
95,6,425,703,45.0,52.0,48.0,2019-05-22,Green+Chilli
95,6,425,757,35.0,40.0,35.0,2019-05-22,Green+Chilli
95,6,143,912,25.0,25.0,25.0,2019-05-22,Green+Chilli
95,6,284,1472,12.0,20.0,15.0,2019-05-22,Green+Chilli
95,6,13,1501,35.0,35.0,35.0,2019-05-22,Green+Chilli
95,6,271,1732,23.0,23.0,23.0,2019-05-22,Green+Chilli
95,6,482,1809,25.0,35.0,30.0,2019-05-22,Green+Chilli
95,6,353,1928,48.0,52.0,50.0,2019-05-22,Green+Chilli
95,6,425,2112,30.0,40.0,40.0,2019-05-22,Green+Chilli
95,7,269,363,40.0,45.0,42.0,2019-05-22,Green+Chilli
95,7,74,378,40.0,52.0,42.0,2019-05-22,Green+Chilli
95,7,86,447,39.0,41.0,40.0,2019-05-22,Green+Chilli
95,7,290,595,35.0,40.0,37.5,2019-05-22,Green+Chilli
95,7,175,813,45.0,45.0,45.0,2019-05-22,Green+Chilli
95,7,228,1046,35.0,40.0,35.0,2019-05-22,Green+Chilli
95,7,228,1049,40.0,50.0,45.0,2019-05-22,Green+Chilli
95,7,269,1251,40.0,50.0,45.0,2019-05-22,Green+Chilli
95,7,290,1389,30.0,50.0,40.0,2019-05-22,Green+Chilli
95,7,228,1653,45.0,50.0,47.5,2019-05-22,Green+Chilli
95,7,417,1690,45.0,50.0,48.0,2019-05-22,Green+Chilli
95,7,422,2106,45.0,55.0,50.0,2019-05-22,Green+Chilli
95,7,422,2107,40.0,45.0,42.0,2019-05-22,Green+Chilli
95,8,205,37,30.0,32.0,31.0,2019-05-22,Green+Chilli
95,8,430,1701,40.0,50.0,45.0,2019-05-22,Green+Chilli
95,10,94,501,28.57,28.57,28.57,2019-05-22,Green+Chilli
95,10,113,555,30.0,35.0,32.5,2019-05-22,Green+Chilli
95,10,256,1196,40.0,50.0,45.0,2019-05-22,Green+Chilli
95,10,42,1845,40.0,50.0,45.0,2019-05-22,Green+Chilli
95,11,135,57,48.0,60.0,54.0,2019-05-22,Green+Chilli
