commodity_name,state,district,market,min_price,max_price,modal_price,date,commodity
160,1,270,1270,10.5,10.5,10.5,2019-05-22,Onion
160,1,270,1722,12.0,15.0,14.0,2019-05-22,Onion
160,2,225,1668,12.0,16.0,14.0,2019-05-22,Onion
160,3,131,656,6.0,10.0,8.0,2019-05-22,Onion
160,3,373,1820,7.0,8.0,7.0,2019-05-22,Onion
160,3,379,1835,10.0,10.0,10.0,2019-05-22,Onion
160,3,74,2225,8.0,9.0,8.5,2019-05-22,Onion
160,5,63,318,7.0,10.0,8.5,2019-05-22,Onion
160,5,65,325,5.0,5.0,5.0,2019-05-22,Onion
160,5,334,381,6.0,10.0,8.0,2019-05-22,Onion
160,5,105,539,3.0,10.0,8.0,2019-05-22,Onion
160,5,2,618,9.0,11.0,10.0,2019-05-22,Onion
160,5,206,934,3.5,10.0,6.75,2019-05-22,Onion
160,5,378,1479,5.0,10.0,7.5,2019-05-22,Onion
160,5,248,1527,5.5,7.5,6.5,2019-05-22,Onion
160,5,464,1643,9.0,11.0,10.0,2019-05-22,Onion
160,5,435,2144,6.0,11.5,8.75,2019-05-22,Onion
160,5,219,2352,1.85,3.95,2.9,2019-05-22,Onion
160,6,237,121,8.0,9.5,9.0,2019-05-22,Onion
160,6,140,196,6.5,8.0,7.0,2019-05-22,Onion
160,6,351,257,10.0,10.0,10.0,2019-05-22,Onion
160,6,184,258,8.0,9.0,9.0,2019-05-22,Onion
160,6,68,348,8.0,8.5,8.25,2019-05-22,Onion
160,6,68,433,6.0,8.0,7.0,2019-05-22,Onion
160,6,223,478,8.0,8.0,8.0,2019-05-22,Onion
160,6,482,490,10.0,10.0,10.0,2019-05-22,Onion
160,6,223,591,12.0,13.0,13.0,2019-05-22,Onion
160,6,140,674,6.0,7.0,6.5,2019-05-22,Onion
160,6,143,678,8.0,10.0,8.0,2019-05-22,Onion
160,6,425,703,8.0,10.0,8.0,2019-05-22,Onion
160,6,425,757,8.0,12.0,8.0,2019-05-22,Onion
160,6,419,2389,8.0,11.0,10.0,2019-05-22,Onion
160,6,389,1441,8.0,10.0,9.0,2019-05-22,Onion
160,6,284,1472,4.0,6.0,5.0,2019-05-22,Onion
160,6,482,1519,10.0,12.0,10.0,2019-05-22,Onion
160,6,216,1576,7.0,7.0,7.0,2019-05-22,Onion
160,6,353,1683,8.0,14.0,12.0,2019-05-22,Onion
160,6,271,1757,6.86,12.35,9.65,2019-05-22,Onion
160,6,353,1928,6.0,10.0,8.0,2019-05-22,Onion
160,6,425,2112,10.0,15.0,15.0,2019-05-22,Onion
160,7,269,363,16.0,18.0,17.0,2019-05-22,Onion
160,7,86,447,11.0,12.0,11.5,2019-05-22,Onion
160,7,290,595,10.0,15.0,12.5,2019-05-22,Onion
160,7,175,812,14.0,15.0,15.0,2019-05-22,Onion
160,7,175,813,14.0,15.0,15.0,2019-05-22,Onion
160,7,228,1046,14.0,16.0,15.0,2019-05-22,Onion
160,7,228,1047,12.0,14.0,13.0,2019-05-22,Onion
160,7,228,1049,11.0,13.0,12.0,2019-05-22,Onion
160,7,269,1251,14.0,16.0,15.0,2019-05-22,Onion
160,7,290,1389,10.0,15.0,12.0,2019-05-22,Onion
160,7,290,1390,12.0,14.0,13.0,2019-05-22,Onion
160,7,417,1539,12.0,13.0,12.5,2019-05-22,Onion
160,7,228,1653,13.0,14.0,13.5,2019-05-22,Onion
160,7,417,1690,9.0,12.0,10.0,2019-05-22,Onion
160,7,422,2106,10.0,13.0,12.0,2019-05-22,Onion
160,7,422,2107,10.0,13.0,12.0,2019-05-22,Onion
160,8,205,37,12.0,13.0,12.5,2019-05-22,Onion
160,8,430,1701,13.0,15.0,14.0,2019-05-22,Onion
160,10,94,177,9.0,14.0,11.7,2019-05-22,Onion
160,10,42,215,8.0,10.0,9.0,2019-05-22,Onion
160,10,94,501,10.53,12.53,11.53,2019-05-22,Onion
160,10,113,555,5.0,13.0,9.0,2019-05-22,Onion
160,10,122,860,4.0,13.5,7.5,2019-05-22,Onion
160,10,256,1196,15.0,16.0,15.38,2019-05-22,Onion
160,10,318,1522,10.0,14.0,12.0,2019-05-22,Onion
160,10,371,1818,4.49,4.49,4.49,2019-05-22,Onion
160,11,135,57,15.0,20.0,18.0,2019-05-22,Onion
160,11,135,91,16.0,18.0,17.0,2019-05-22,Onion
160,11,7,119,12.0,14.0,13.0,2019-05-22,Onion
160,11,266,132,40.0,42.0,41.0,2019-05-22,Onion
160,11,446,442,37.0,37.56,37.28,2019-05-22,Onion
160,11,444,475,20.0,24.0,23.0,2019-05-22,Onion
160,11,444,479,20.0,22.0,21.0,2019-05-22,Onion
160,11,7,481,15.0,16.0,16.0,2019-05-22,Onion
160,11,266,669,44.0,45.0,45.0,2019-05-22,Onion
160,11,7,829,15.0,20.0,20.0,2019-05-22,Onion
160,11,267,1020,14.0,18.0,16.0,2019-05-22,Onion
160,11,239,1051,15.0,20.0,17.0,2019-05-22,Onion
160,11,231,1057,16.0,17.0,16.5,2019-05-22,Onion
160,11,7,1110,15.0,17.0,16.0,2019-05-22,Onion
160,11,348,1193,14.0,18.0,16.0,2019-05-22,Onion
160,11,287,1207,18.0,20.0,19.0,2019-05-22,Onion
160,11,135,1231,15.0,18.0,16.0,2019-05-22,Onion
160,11,287,1236,15.5,16.5,16.0,2019-05-22,Onion
160,11,7,1332,52.0,58.0,54.0,2019-05-22,Onion
160,11,287,1404,16.0,17.0,16.5,2019-05-22,Onion
160,11,7,1407,12.0,16.0,15.0,2019-05-22,Onion
160,11,267,1495,16.0,20.0,18.0,2019-05-22,Onion
160,11,239,1595,18.0,20.0,19.0,2019-05-22,Onion
160,11,348,1648,15.0,20.0,18.0,2019-05-22,Onion
160,11,267,1657,15.0,17.0,16.0,2019-05-22,Onion
160,11,266,1669,16.0,20.0,18.0,2019-05-22,Onion
160,11,348,1719,15.0,16.0,15.5,2019-05-22,Onion
160,11,287,1737,13.0,15.0,14.0,2019-05-22,Onion
160,11,135,1739,6.0,10.0,8.0,2019-05-22,Onion
160,11,446,1776,35.0,45.0,40.0,2019-05-22,Onion
160,11,267,1807,16.0,17.0,17.0,2019-05-22,Onion
160,11,266,2190,37.0,42.0,40.0,2019-05-22,Onion
160,11,190,2214,14.0,15.0,15.0,2019-05-22,Onion
160,11,135,2217,17.0,21.0,19.0,2019-05-22,Onion
160,11,444,2218,14.0,16.0,15.0,2019-05-22,Onion
160,11,348,2390,21.0,23.0,22.0,2019-05-22,Onion
160,11,348,2286,16.0,20.0,18.0,2019-05-22,Onion
160,12,9,54,8.0,10.0,9.0,2019-05-22,Onion
160,12,377,366,2.0,5.0,3.5,2019-05-22,Onion
160,12,93,496,7.0,9.0,8.0,2019-05-22,Onion
160,12,117,584,4.0,9.0,6.0,2019-05-22,Onion
160,12,120,587,3.05,7.0,5.25,2019-05-22,Onion
160,12,332,692,5.0,7.0,6.0,2019-05-22,Onion
160,12,117,800,5.0,10.0,8.0,2019-05-22,Onion
160,12,177,822,3.5,7.0,6.0,2019-05-22,Onion
160,12,193,873,3.0,10.0,7.0,2019-05-22,Onion
160,12,210,961,4.0,5.0,4.5,2019-05-22,Onion
160,12,405,1012,2.2,8.0,4.5,2019-05-22,Onion
160,12,246,1142,2.5,5.5,4.0,2019-05-22,Onion
160,12,120,1248,4.0,8.0,6.0,2019-05-22,Onion
160,12,292,1392,1.0,6.62,3.9,2019-05-22,Onion
160,12,405,1550,8.0,10.0,9.0,2019-05-22,Onion
160,12,377,1572,2.0,8.5,5.0,2019-05-22,Onion
160,12,337,1597,1.11,7.67,4.11,2019-05-22,Onion
160,12,193,1962,5.5,6.5,6.0,2019-05-22,Onion
160,12,210,2194,8.0,9.0,8.5,2019-05-22,Onion
160,12,177,2223,8.0,8.0,8.0,2019-05-22,Onion
160,13,25,144,3.0,10.0,6.5,2019-05-22,Onion
160,13,91,459,11.0,13.0,12.0,2019-05-22,Onion
160,13,333,572,3.0,11.0,9.0,2019-05-22,Onion
160,13,126,622,3.5,8.5,7.0,2019-05-22,Onion
160,13,202,920,3.5,8.75,5.42,2019-05-22,Onion
160,13,399,1063,7.0,12.0,10.0,2019-05-22,Onion
160,13,367,1160,4.0,13.5,10.0,2019-05-22,Onion
160,13,257,1199,4.0,14.0,10.0,2019-05-22,Onion
160,13,3,1212,3.0,10.51,9.0,2019-05-22,Onion
160,13,367,1326,4.0,12.5,7.5,2019-05-22,Onion
160,13,333,1406,3.5,10.3,8.1,2019-05-22,Onion
160,13,333,1754,2.0,13.52,9.25,2019-05-22,Onion
160,13,367,1791,5.0,12.0,9.0,2019-05-22,Onion
160,13,367,1793,5.0,9.0,7.5,2019-05-22,Onion
160,13,367,1796,10.0,12.0,11.0,2019-05-22,Onion
160,13,3,2053,2.0,16.0,11.5,2019-05-22,Onion
160,13,399,2298,5.0,10.0,8.5,2019-05-22,Onion
160,13,313,2322,9.0,12.0,10.5,2019-05-22,Onion
160,13,202,2377,4.8,7.0,5.6,2019-05-22,Onion
160,13,333,2381,3.0,11.76,9.0,2019-05-22,Onion
160,14,76,394,19.0,20.0,20.0,2019-05-22,Onion
160,14,192,870,18.0,25.0,20.0,2019-05-22,Onion
160,14,191,1296,18.0,20.0,20.0,2019-05-22,Onion
160,14,449,2216,0.0,20.0,20.0,2019-05-22,Onion
160,17,115,149,1.75,12.5,8.13,2019-05-22,Onion
160,19,336,182,15.0,17.0,16.5,2019-05-22,Onion
160,19,48,242,12.0,15.0,14.0,2019-05-22,Onion
160,19,299,290,13.0,15.0,14.0,2019-05-22,Onion
160,19,154,309,18.0,20.0,19.0,2019-05-22,Onion
160,19,424,391,16.0,20.0,18.0,2019-05-22,Onion
160,19,77,405,15.0,16.0,15.0,2019-05-22,Onion
160,19,433,407,15.0,15.0,15.0,2019-05-22,Onion
160,19,79,415,16.0,20.0,20.0,2019-05-22,Onion
160,19,123,614,15.0,20.0,18.0,2019-05-22,Onion
160,19,424,655,10.5,11.0,11.0,2019-05-22,Onion
160,19,123,838,14.0,16.0,15.0,2019-05-22,Onion
160,19,154,845,15.0,18.0,18.0,2019-05-22,Onion
160,19,198,911,11.0,12.0,12.0,2019-05-22,Onion
160,19,198,970,11.0,13.0,12.0,2019-05-22,Onion
160,19,123,1035,17.0,20.0,18.0,2019-05-22,Onion
160,19,79,1174,16.0,20.0,20.0,2019-05-22,Onion
160,19,424,1680,10.5,11.0,11.0,2019-05-22,Onion
160,19,336,1966,15.5,17.0,16.5,2019-05-22,Onion
160,19,433,1973,12.0,15.0,14.0,2019-05-22,Onion
160,19,77,2247,15.0,16.0,15.0,2019-05-22,Onion
160,19,299,2253,13.0,14.0,13.0,2019-05-22,Onion
160,21,146,4,9.5,12.0,10.5,2019-05-22,Onion
160,21,200,11,11.0,12.0,12.0,2019-05-22,Onion
160,21,16,31,6.0,8.0,7.0,2019-05-22,Onion
160,21,64,302,9.1,10.0,9.8,2019-05-22,Onion
160,21,397,327,8.0,11.0,9.5,2019-05-22,Onion
160,21,187,551,8.0,10.0,10.0,2019-05-22,Onion
160,21,308,570,10.0,12.0,11.0,2019-05-22,Onion
160,21,307,601,12.0,12.0,12.0,2019-05-22,Onion
160,21,171,607,8.0,10.0,9.0,2019-05-22,Onion
160,21,397,624,8.0,9.0,8.5,2019-05-22,Onion
160,21,141,675,6.6,12.6,10.5,2019-05-22,Onion
160,21,147,686,6.0,11.0,8.5,2019-05-22,Onion
160,21,312,745,10.0,10.0,10.0,2019-05-22,Onion
160,21,64,768,10.0,15.0,12.0,2019-05-22,Onion
160,21,171,792,8.0,10.0,9.0,2019-05-22,Onion
160,21,278,894,9.0,11.0,10.0,2019-05-22,Onion
160,21,397,1140,8.0,10.0,9.0,2019-05-22,Onion
160,21,308,1146,6.0,12.0,8.0,2019-05-22,Onion
160,21,308,1264,8.0,10.0,9.0,2019-05-22,Onion
160,21,308,1293,9.0,10.0,10.0,2019-05-22,Onion
160,21,397,1309,6.0,6.0,6.0,2019-05-22,Onion
160,21,147,1360,8.0,9.0,8.5,2019-05-22,Onion
160,21,397,1367,7.5,10.0,9.0,2019-05-22,Onion
160,21,147,1378,10.0,11.0,10.5,2019-05-22,Onion
160,21,187,1493,12.5,14.5,13.0,2019-05-22,Onion
160,21,359,1524,5.0,10.0,7.0,2019-05-22,Onion
160,21,200,1544,6.0,7.0,7.0,2019-05-22,Onion
160,21,359,1717,4.5,7.0,4.5,2019-05-22,Onion
160,21,485,1744,8.45,11.16,9.81,2019-05-22,Onion
160,21,200,1748,4.0,6.0,5.0,2019-05-22,Onion
160,21,359,1839,7.0,10.0,8.5,2019-05-22,Onion
160,21,16,1878,8.0,10.0,9.0,2019-05-22,Onion
160,21,359,1929,7.5,11.0,9.0,2019-05-22,Onion
160,21,397,1956,6.0,8.0,7.0,2019-05-22,Onion
160,21,397,2140,5.0,8.0,6.0,2019-05-22,Onion
160,21,187,2168,10.0,12.0,11.0,2019-05-22,Onion
160,22,5,30,6.0,11.0,8.5,2019-05-22,Onion
160,22,5,372,9.0,11.0,10.0,2019-05-22,Onion
160,22,203,925,6.0,7.0,6.5,2019-05-22,Onion
160,22,415,1596,3.75,4.6,4.5,2019-05-22,Onion
160,22,98,1613,9.0,10.0,9.5,2019-05-22,Onion
160,22,98,1779,2.25,5.91,4.08,2019-05-22,Onion
