commodity_name,state,district,market,min_price,max_price,modal_price,date,commodity
233,1,97,1016,9.5,30.0,20.0,2019-05-22,Tomato
233,1,97,1499,15.0,29.0,21.0,2019-05-22,Tomato
233,1,270,1722,45.0,50.0,48.0,2019-05-22,Tomato
233,3,131,656,26.0,30.0,28.0,2019-05-22,Tomato
233,3,373,1820,15.0,16.0,15.0,2019-05-22,Tomato
233,3,379,1835,25.0,25.0,25.0,2019-05-22,Tomato
233,3,74,2225,28.0,30.0,28.0,2019-05-22,Tomato
233,5,2,19,22.0,30.0,27.0,2019-05-22,Tomato
233,5,63,98,16.5,32.5,30.0,2019-05-22,Tomato
233,5,63,318,15.0,22.5,20.0,2019-05-22,Tomato
233,5,65,325,15.0,21.0,20.0,2019-05-22,Tomato
233,5,334,381,12.0,32.5,22.25,2019-05-22,Tomato
233,5,105,539,18.0,28.0,25.0,2019-05-22,Tomato
233,5,15,543,24.0,33.0,28.0,2019-05-22,Tomato
233,5,2,618,12.0,14.0,13.0,2019-05-22,Tomato
233,5,378,620,22.0,31.0,27.0,2019-05-22,Tomato
233,5,378,1479,22.5,27.5,25.0,2019-05-22,Tomato
233,5,248,1527,13.0,19.0,16.0,2019-05-22,Tomato
233,5,464,1643,25.0,30.0,27.5,2019-05-22,Tomato
233,5,435,2144,12.5,30.0,21.25,2019-05-22,Tomato
233,5,219,2156,23.0,25.0,24.0,2019-05-22,Tomato
233,5,310,2312,25.0,30.0,27.5,2019-05-22,Tomato
233,5,304,2341,10.0,10.0,10.0,2019-05-22,Tomato
233,6,237,121,9.0,10.0,9.5,2019-05-22,Tomato
233,6,140,196,20.0,25.0,23.0,2019-05-22,Tomato
233,6,351,257,12.0,12.0,12.0,2019-05-22,Tomato
233,6,184,258,9.0,10.0,10.0,2019-05-22,Tomato
233,6,68,433,15.0,18.0,16.5,2019-05-22,Tomato
233,6,482,490,14.0,16.0,14.0,2019-05-22,Tomato
233,6,223,591,15.0,20.0,20.0,2019-05-22,Tomato
233,6,143,678,8.0,11.0,10.0,2019-05-22,Tomato
233,6,425,703,12.0,18.0,14.0,2019-05-22,Tomato
233,6,237,735,3.8,15.0,10.5,2019-05-22,Tomato
233,6,425,757,12.0,14.0,12.0,2019-05-22,Tomato
233,6,184,848,12.0,15.0,14.0,2019-05-22,Tomato
233,6,143,912,7.0,7.0,7.0,2019-05-22,Tomato
233,6,419,2389,6.0,6.0,6.0,2019-05-22,Tomato
233,6,284,1472,10.0,20.0,18.0,2019-05-22,Tomato
233,6,482,1519,15.0,17.0,16.0,2019-05-22,Tomato
233,6,216,1576,15.0,15.0,15.0,2019-05-22,Tomato
233,6,353,1683,5.5,16.0,12.0,2019-05-22,Tomato
233,6,482,1809,10.0,14.0,12.0,2019-05-22,Tomato
233,6,389,1937,16.0,20.0,16.0,2019-05-22,Tomato
233,7,269,363,20.0,25.0,22.0,2019-05-22,Tomato
233,7,74,378,21.0,32.0,25.0,2019-05-22,Tomato
233,7,86,447,16.0,20.0,18.0,2019-05-22,Tomato
233,7,290,595,17.0,25.0,21.0,2019-05-22,Tomato
233,7,175,812,22.0,26.0,24.0,2019-05-22,Tomato
233,7,175,813,20.0,24.0,22.0,2019-05-22,Tomato
233,7,228,1046,15.0,20.0,15.0,2019-05-22,Tomato
233,7,228,1047,25.0,30.0,30.0,2019-05-22,Tomato
233,7,228,1049,20.0,25.0,22.5,2019-05-22,Tomato
233,7,269,1251,23.0,25.0,24.0,2019-05-22,Tomato
233,7,290,1389,18.0,25.0,20.0,2019-05-22,Tomato
233,7,290,1390,20.0,25.0,22.0,2019-05-22,Tomato
233,7,417,1539,20.0,25.0,23.0,2019-05-22,Tomato
233,7,228,1653,22.0,24.0,23.0,2019-05-22,Tomato
233,7,422,2107,18.0,23.0,22.0,2019-05-22,Tomato
233,8,205,37,25.0,26.0,25.5,2019-05-22,Tomato
233,10,94,177,30.0,45.0,38.4,2019-05-22,Tomato
233,10,256,217,5.0,24.8,17.5,2019-05-22,Tomato
233,10,42,466,12.5,30.0,20.0,2019-05-22,Tomato
233,10,94,501,23.07,25.07,24.07,2019-05-22,Tomato
233,10,113,555,34.0,42.5,38.25,2019-05-22,Tomato
233,10,256,1196,5.33,31.33,18.33,2019-05-22,Tomato
233,10,42,1845,35.0,40.0,37.5,2019-05-22,Tomato
233,10,256,2127,12.0,35.67,23.73,2019-05-22,Tomato
233,11,135,57,40.0,48.0,44.0,2019-05-22,Tomato
233,11,135,91,46.0,50.0,48.0,2019-05-22,Tomato
233,11,7,119,32.0,34.0,33.0,2019-05-22,Tomato
233,11,266,132,42.0,44.0,43.0,2019-05-22,Tomato
233,11,446,140,30.0,35.0,30.0,2019-05-22,Tomato
233,11,446,442,47.0,47.53,47.2,2019-05-22,Tomato
233,11,444,479,30.0,34.0,32.0,2019-05-22,Tomato
233,11,7,481,54.0,57.0,55.0,2019-05-22,Tomato
233,11,266,669,45.0,47.0,46.0,2019-05-22,Tomato
233,11,7,829,35.0,40.0,40.0,2019-05-22,Tomato
233,11,267,1020,38.0,42.0,40.0,2019-05-22,Tomato
233,11,239,1051,32.0,40.0,36.0,2019-05-22,Tomato
233,11,7,1110,42.0,44.0,43.0,2019-05-22,Tomato
233,11,348,1193,40.0,46.0,43.0,2019-05-22,Tomato
233,11,287,1207,30.0,32.0,31.0,2019-05-22,Tomato
233,11,135,1231,40.0,50.0,45.0,2019-05-22,Tomato
233,11,287,1236,41.0,42.0,41.5,2019-05-22,Tomato
233,11,7,1332,58.0,62.0,60.0,2019-05-22,Tomato
233,11,287,1404,35.0,36.0,35.5,2019-05-22,Tomato
233,11,239,1405,37.0,40.0,38.5,2019-05-22,Tomato
233,11,7,1407,55.0,57.0,56.0,2019-05-22,Tomato
233,11,267,1495,16.0,20.0,18.0,2019-05-22,Tomato
233,11,446,1607,33.0,35.0,34.0,2019-05-22,Tomato
233,11,348,1648,45.0,50.0,48.0,2019-05-22,Tomato
233,11,267,1657,31.6,32.6,32.1,2019-05-22,Tomato
233,11,266,1669,40.0,44.0,42.0,2019-05-22,Tomato
233,11,348,1719,44.0,48.0,44.0,2019-05-22,Tomato
233,11,287,1737,30.0,34.0,32.0,2019-05-22,Tomato
233,11,135,1739,40.0,50.0,45.0,2019-05-22,Tomato
233,11,446,1776,35.0,45.0,40.0,2019-05-22,Tomato
233,11,267,1807,37.0,38.0,38.0,2019-05-22,Tomato
233,11,266,2190,46.0,50.0,48.0,2019-05-22,Tomato
233,11,190,2214,42.0,44.0,44.0,2019-05-22,Tomato
233,11,135,2217,45.0,53.0,49.0,2019-05-22,Tomato
233,11,444,2218,34.0,35.0,35.0,2019-05-22,Tomato
233,11,348,2390,37.0,39.0,38.0,2019-05-22,Tomato
233,11,348,2286,42.0,46.0,44.0,2019-05-22,Tomato
233,12,84,429,20.0,24.0,22.0,2019-05-22,Tomato
233,12,93,496,14.0,16.0,15.0,2019-05-22,Tomato
233,12,117,584,10.0,25.0,18.0,2019-05-22,Tomato
233,12,120,587,7.0,11.0,9.0,2019-05-22,Tomato
233,12,332,692,20.0,30.0,25.0,2019-05-22,Tomato
233,12,169,787,2.5,4.0,3.0,2019-05-22,Tomato
233,12,117,800,15.0,30.0,25.0,2019-05-22,Tomato
233,12,177,822,20.0,23.0,22.0,2019-05-22,Tomato
233,12,193,873,10.0,24.0,16.0,2019-05-22,Tomato
233,12,246,1142,9.0,25.0,17.5,2019-05-22,Tomato
233,12,120,1248,10.0,18.0,14.0,2019-05-22,Tomato
233,12,292,1393,12.0,14.0,13.0,2019-05-22,Tomato
233,12,377,1572,5.6,6.0,5.9,2019-05-22,Tomato
233,12,120,1830,18.0,25.0,20.0,2019-05-22,Tomato
233,12,193,1962,12.0,13.0,12.5,2019-05-22,Tomato
233,12,29,1998,7.0,10.0,8.5,2019-05-22,Tomato
233,12,210,2194,16.0,18.0,17.0,2019-05-22,Tomato
233,12,177,2223,20.0,30.0,25.0,2019-05-22,Tomato
233,12,458,2262,9.5,25.0,17.5,2019-05-22,Tomato
233,13,25,144,8.0,20.0,14.0,2019-05-22,Tomato
233,13,91,459,20.0,30.0,25.0,2019-05-22,Tomato
233,13,202,920,10.0,30.0,20.0,2019-05-22,Tomato
233,13,323,1023,28.65,32.0,30.5,2019-05-22,Tomato
233,13,399,1063,25.0,30.0,30.0,2019-05-22,Tomato
233,13,367,1160,20.0,25.0,22.5,2019-05-22,Tomato
233,13,257,1199,8.0,36.0,22.0,2019-05-22,Tomato
233,13,411,1397,5.0,30.0,15.0,2019-05-22,Tomato
233,13,399,1709,15.5,17.5,16.5,2019-05-22,Tomato
233,13,367,1791,12.0,25.0,20.0,2019-05-22,Tomato
233,13,367,1793,8.0,25.0,16.5,2019-05-22,Tomato
233,13,367,1796,22.0,30.0,26.0,2019-05-22,Tomato
233,13,385,1871,25.0,35.0,30.0,2019-05-22,Tomato
233,13,3,1947,7.5,25.0,16.25,2019-05-22,Tomato
233,13,399,1978,15.0,23.0,18.5,2019-05-22,Tomato
233,13,3,2053,20.0,30.0,25.5,2019-05-22,Tomato
233,13,257,2289,6.0,30.0,18.0,2019-05-22,Tomato
233,13,399,2298,8.0,25.0,22.5,2019-05-22,Tomato
233,15,134,2040,40.0,48.0,45.0,2019-05-22,Tomato
233,17,115,149,5.2,24.0,14.44,2019-05-22,Tomato
233,19,336,182,33.0,36.0,35.0,2019-05-22,Tomato
233,19,104,219,45.0,50.0,48.0,2019-05-22,Tomato
233,19,48,242,32.0,40.0,35.0,2019-05-22,Tomato
233,19,299,290,35.0,40.0,38.0,2019-05-22,Tomato
233,19,77,405,38.0,40.0,38.0,2019-05-22,Tomato
233,19,433,407,30.0,40.0,30.0,2019-05-22,Tomato
233,19,79,415,35.0,40.0,40.0,2019-05-22,Tomato
233,19,243,473,44.0,45.0,45.0,2019-05-22,Tomato
233,19,299,525,41.0,42.0,41.0,2019-05-22,Tomato
233,19,123,614,35.0,40.0,40.0,2019-05-22,Tomato
233,19,424,655,35.0,40.0,38.0,2019-05-22,Tomato
233,19,243,771,35.0,36.0,35.5,2019-05-22,Tomato
233,19,123,838,45.0,50.0,48.0,2019-05-22,Tomato
233,19,154,845,35.0,40.0,40.0,2019-05-22,Tomato
233,19,198,911,40.0,50.0,45.0,2019-05-22,Tomato
233,19,198,970,40.0,50.0,45.0,2019-05-22,Tomato
233,19,123,1035,40.0,50.0,45.0,2019-05-22,Tomato
233,19,151,1092,25.0,30.0,30.0,2019-05-22,Tomato
233,19,243,1113,34.0,35.0,35.0,2019-05-22,Tomato
233,19,79,1174,25.0,30.0,30.0,2019-05-22,Tomato
233,19,48,1642,32.0,34.0,33.0,2019-05-22,Tomato
233,19,424,1680,40.0,45.0,42.0,2019-05-22,Tomato
233,19,433,1686,36.0,40.0,39.0,2019-05-22,Tomato
233,19,336,1966,34.0,36.0,35.0,2019-05-22,Tomato
233,19,433,1973,35.0,40.0,38.0,2019-05-22,Tomato
233,19,77,2247,38.0,40.0,38.0,2019-05-22,Tomato
233,19,299,2253,41.0,41.0,41.0,2019-05-22,Tomato
233,21,146,4,7.5,12.0,9.5,2019-05-22,Tomato
233,21,200,11,15.0,17.0,17.0,2019-05-22,Tomato
233,21,397,327,15.0,16.0,15.5,2019-05-22,Tomato
233,21,187,551,10.0,15.0,15.0,2019-05-22,Tomato
233,21,308,570,20.0,22.0,21.0,2019-05-22,Tomato
233,21,307,601,20.0,20.0,20.0,2019-05-22,Tomato
233,21,141,675,10.0,16.5,13.5,2019-05-22,Tomato
233,21,147,686,10.0,15.0,12.5,2019-05-22,Tomato
233,21,312,745,15.0,17.0,16.0,2019-05-22,Tomato
233,21,64,768,3.0,5.0,4.0,2019-05-22,Tomato
233,21,171,792,15.0,18.0,16.0,2019-05-22,Tomato
233,21,278,894,11.0,13.0,12.0,2019-05-22,Tomato
233,21,397,1140,12.0,14.0,13.0,2019-05-22,Tomato
233,21,308,1146,12.0,20.0,18.0,2019-05-22,Tomato
233,21,308,1264,15.0,17.0,16.0,2019-05-22,Tomato
233,21,308,1293,12.0,15.0,13.0,2019-05-22,Tomato
233,21,397,1309,19.0,19.0,19.0,2019-05-22,Tomato
233,21,200,1318,8.0,10.0,9.0,2019-05-22,Tomato
233,21,147,1360,12.0,16.0,14.0,2019-05-22,Tomato
233,21,397,1367,12.5,18.0,15.0,2019-05-22,Tomato
233,21,147,1378,16.0,17.0,16.5,2019-05-22,Tomato
233,21,187,1493,21.0,24.5,23.0,2019-05-22,Tomato
233,21,359,1524,12.0,22.0,16.0,2019-05-22,Tomato
233,21,359,1717,8.0,15.0,10.0,2019-05-22,Tomato
233,21,485,1744,10.0,15.0,12.5,2019-05-22,Tomato
233,21,200,1748,24.0,26.0,25.0,2019-05-22,Tomato
233,21,359,1839,5.0,7.0,6.0,2019-05-22,Tomato
233,21,16,1878,19.0,21.0,20.0,2019-05-22,Tomato
233,21,278,1917,15.0,16.0,16.0,2019-05-22,Tomato
233,21,397,1956,8.0,10.0,8.0,2019-05-22,Tomato
233,21,200,2016,20.0,30.0,25.0,2019-05-22,Tomato
233,21,397,2140,5.0,10.0,7.0,2019-05-22,Tomato
233,21,64,2163,15.0,20.0,18.0,2019-05-22,Tomato
233,22,5,30,6.0,9.0,7.5,2019-05-22,Tomato
233,22,5,372,6.0,8.0,7.0,2019-05-22,Tomato
233,22,415,1596,3.7,4.65,4.0,2019-05-22,Tomato
233,22,376,1828,16.0,20.0,18.0,2019-05-22,Tomato
233,22,415,2065,5.0,10.0,7.0,2019-05-22,Tomato
233,22,153,2125,10.0,12.0,11.0,2019-05-22,Tomato
233,22,454,2251,5.0,20.0,12.5,2019-05-22,Tomato
233,24,189,781,10.0,40.0,25.0,2019-05-22,Tomato
233,24,283,2005,25.0,40.0,35.0,2019-05-22,Tomato
233,26,1,10,15.0,15.8,15.4,2019-05-22,Tomato
233,26,1,16,15.0,17.0,16.0,2019-05-22,Tomato
233,26,10,33,16.25,17.0,16.5,2019-05-22,Tomato
233,26,137,50,12.0,14.0,13.0,2019-05-22,Tomato
233,26,281,87,8.0,11.0,9.5,2019-05-22,Tomato
233,26,80,101,8.0,8.2,8.1,2019-05-22,Tomato
233,26,47,106,14.0,15.0,14.5,2019-05-22,Tomato
233,26,40,129,17.0,18.0,17.5,2019-05-22,Tomato
233,26,24,143,24.0,26.0,25.0,2019-05-22,Tomato
233,26,137,148,13.0,15.0,14.0,2019-05-22,Tomato
233,26,27,163,12.0,15.0,13.9,2019-05-22,Tomato
233,26,404,164,11.0,12.0,11.5,2019-05-22,Tomato
233,26,31,180,15.0,17.0,16.0,2019-05-22,Tomato
233,26,35,197,16.0,17.0,16.5,2019-05-22,Tomato
233,26,38,201,18.0,20.0,19.0,2019-05-22,Tomato
233,26,461,216,16.5,17.5,17.0,2019-05-22,Tomato
233,26,44,227,24.5,26.0,25.0,2019-05-22,Tomato
233,26,31,234,8.0,9.0,8.5,2019-05-22,Tomato
233,26,47,238,13.5,14.0,13.75,2019-05-22,Tomato
233,26,53,265,19.5,20.5,20.0,2019-05-22,Tomato
233,26,286,292,14.0,16.0,15.0,2019-05-22,Tomato
233,26,138,316,16.0,18.0,17.25,2019-05-22,Tomato
233,26,72,373,14.1,15.2,14.65,2019-05-22,Tomato
233,26,362,383,6.25,7.3,6.7,2019-05-22,Tomato
233,26,27,384,12.0,13.0,12.5,2019-05-22,Tomato
233,26,80,422,11.0,15.0,13.5,2019-05-22,Tomato
233,26,72,435,7.0,8.0,7.5,2019-05-22,Tomato
233,26,315,455,18.2,18.9,18.6,2019-05-22,Tomato
233,26,230,494,19.0,20.5,20.0,2019-05-22,Tomato
233,26,167,521,20.0,21.5,20.5,2019-05-22,Tomato
233,26,393,528,17.0,18.0,17.5,2019-05-22,Tomato
233,26,72,588,10.0,12.0,11.0,2019-05-22,Tomato
233,26,80,637,6.5,6.7,6.6,2019-05-22,Tomato
233,26,137,667,15.0,17.0,16.0,2019-05-22,Tomato
233,26,138,668,16.0,20.0,18.0,2019-05-22,Tomato
233,26,139,672,25.25,27.5,26.0,2019-05-22,Tomato
233,26,142,677,20.0,24.0,22.0,2019-05-22,Tomato
233,26,1,678,12.0,13.5,12.5,2019-05-22,Tomato
233,26,148,685,7.0,9.0,8.0,2019-05-22,Tomato
233,26,281,693,11.0,13.0,12.0,2019-05-22,Tomato
233,26,393,716,7.35,7.6,7.45,2019-05-22,Tomato
233,26,137,718,11.5,13.0,12.5,2019-05-22,Tomato
233,26,159,741,19.5,21.0,20.5,2019-05-22,Tomato
233,26,286,742,12.0,13.8,13.0,2019-05-22,Tomato
233,26,165,763,23.4,23.65,23.5,2019-05-22,Tomato
233,26,167,775,19.8,21.3,20.3,2019-05-22,Tomato
233,26,80,784,4.53,4.57,4.55,2019-05-22,Tomato
233,26,181,799,15.0,17.0,16.0,2019-05-22,Tomato
233,26,178,823,18.9,19.1,19.0,2019-05-22,Tomato
233,26,80,897,12.0,13.0,12.5,2019-05-22,Tomato
233,26,404,913,7.5,8.0,7.75,2019-05-22,Tomato
233,26,201,918,14.5,15.0,15.0,2019-05-22,Tomato
233,26,1,941,7.5,8.4,7.9,2019-05-22,Tomato
233,26,10,945,11.0,13.0,12.0,2019-05-22,Tomato
233,26,138,946,8.0,9.0,8.5,2019-05-22,Tomato
233,26,158,950,0.0,12.0,11.0,2019-05-22,Tomato
233,26,213,966,12.2,13.0,12.65,2019-05-22,Tomato
233,26,232,969,8.0,8.5,8.25,2019-05-22,Tomato
233,26,317,998,9.0,10.0,9.5,2019-05-22,Tomato
233,26,317,1004,8.0,10.0,8.3,2019-05-22,Tomato
233,26,230,1055,18.0,20.0,19.0,2019-05-22,Tomato
233,26,96,1085,17.65,19.0,18.25,2019-05-22,Tomato
233,26,137,1089,16.0,16.8,16.4,2019-05-22,Tomato
233,26,404,1102,7.5,8.5,8.0,2019-05-22,Tomato
233,26,1,1130,14.0,15.0,14.5,2019-05-22,Tomato
233,26,398,1134,15.5,18.5,17.5,2019-05-22,Tomato
233,26,317,1154,9.05,9.25,9.15,2019-05-22,Tomato
233,26,80,1176,12.0,13.2,12.6,2019-05-22,Tomato
233,26,72,1185,8.0,9.0,8.5,2019-05-22,Tomato
233,26,298,1211,23.0,24.0,23.65,2019-05-22,Tomato
233,26,297,1224,14.6,15.5,15.0,2019-05-22,Tomato
233,26,272,1285,19.8,20.7,20.3,2019-05-22,Tomato
233,26,273,1292,13.0,13.5,13.25,2019-05-22,Tomato
233,26,277,1323,25.0,26.0,25.5,2019-05-22,Tomato
233,26,178,1334,18.0,19.0,18.4,2019-05-22,Tomato
233,26,281,1343,10.0,10.0,10.0,2019-05-22,Tomato
233,26,285,1348,16.8,17.4,17.1,2019-05-22,Tomato
233,26,286,1356,12.3,14.3,13.3,2019-05-22,Tomato
233,26,298,1427,23.0,24.0,23.65,2019-05-22,Tomato
233,26,175,1429,16.0,18.5,17.5,2019-05-22,Tomato
233,26,213,1431,10.0,10.5,10.5,2019-05-22,Tomato
233,26,303,1438,14.25,15.0,14.8,2019-05-22,Tomato
233,26,306,1463,20.45,20.85,20.65,2019-05-22,Tomato
233,26,213,1486,13.0,14.0,13.4,2019-05-22,Tomato
233,26,315,1512,18.0,20.0,19.0,2019-05-22,Tomato
233,26,175,1518,18.0,19.0,18.5,2019-05-22,Tomato
233,26,317,1521,13.5,14.0,13.85,2019-05-22,Tomato
233,26,32,1523,17.0,20.0,18.0,2019-05-22,Tomato
233,26,393,1547,15.1,15.4,15.2,2019-05-22,Tomato
233,26,413,1583,20.0,20.7,20.25,2019-05-22,Tomato
233,26,281,1585,8.0,10.0,9.0,2019-05-22,Tomato
233,26,159,1623,8.75,11.25,9.63,2019-05-22,Tomato
233,26,201,1634,14.0,15.0,14.5,2019-05-22,Tomato
233,26,272,1661,14.5,15.0,14.75,2019-05-22,Tomato
233,26,362,1751,13.8,14.3,14.1,2019-05-22,Tomato
233,26,232,1784,17.0,18.9,18.9,2019-05-22,Tomato
233,26,362,1800,13.3,13.9,13.6,2019-05-22,Tomato
233,26,404,1805,11.0,12.0,11.5,2019-05-22,Tomato
233,26,382,1850,13.5,14.5,14.0,2019-05-22,Tomato
233,26,32,1900,15.0,17.0,16.0,2019-05-22,Tomato
233,26,232,1901,8.5,9.0,9.0,2019-05-22,Tomato
233,26,393,1913,13.0,14.1,13.5,2019-05-22,Tomato
233,26,413,1916,19.0,20.9,20.0,2019-05-22,Tomato
233,26,160,1918,20.8,22.8,21.8,2019-05-22,Tomato
233,26,315,1934,4.6,6.5,5.0,2019-05-22,Tomato
233,26,303,1970,11.0,13.0,12.0,2019-05-22,Tomato
233,26,167,1993,18.0,21.0,20.0,2019-05-22,Tomato
233,26,181,2004,4.0,5.0,4.5,2019-05-22,Tomato
233,26,178,2008,15.5,16.5,16.0,2019-05-22,Tomato
233,26,317,2027,12.0,14.0,13.0,2019-05-22,Tomato
233,26,80,2063,10.0,12.0,11.0,2019-05-22,Tomato
233,26,80,2066,6.0,8.2,7.0,2019-05-22,Tomato
233,26,148,2090,12.5,14.5,13.5,2019-05-22,Tomato
233,26,420,2092,17.2,18.2,17.8,2019-05-22,Tomato
233,26,80,2099,12.0,13.0,12.5,2019-05-22,Tomato
233,26,432,2135,23.5,27.0,25.0,2019-05-22,Tomato
233,26,393,2136,9.0,11.0,10.0,2019-05-22,Tomato
233,26,347,2164,8.5,10.0,9.5,2019-05-22,Tomato
233,26,317,2193,5.0,6.0,5.5,2019-05-22,Tomato
233,26,404,2222,7.5,8.5,8.0,2019-05-22,Tomato
233,26,148,2244,16.3,16.5,16.4,2019-05-22,Tomato
233,27,114,564,4.5,6.0,5.5,2019-05-22,Tomato
233,27,179,825,8.0,11.0,9.4,2019-05-22,Tomato
233,27,455,1090,10.0,12.0,11.0,2019-05-22,Tomato
233,27,455,1155,5.5,7.5,6.5,2019-05-22,Tomato
233,27,455,1178,8.0,12.0,10.0,2019-05-22,Tomato
233,27,179,1401,8.0,10.0,9.0,2019-05-22,Tomato
233,27,329,1849,5.5,6.5,6.0,2019-05-22,Tomato
233,27,179,1896,6.0,8.0,7.0,2019-05-22,Tomato
233,27,455,2093,10.0,12.0,11.0,2019-05-22,Tomato
233,27,87,2166,5.0,6.5,6.0,2019-05-22,Tomato
233,27,114,2345,10.0,16.0,15.0,2019-05-22,Tomato
233,28,204,52,30.0,32.0,31.0,2019-05-22,Tomato
233,28,369,194,20.0,22.0,21.0,2019-05-22,Tomato
